Region,Lat,Lon,Mean_Score,Pct_High,Pct_Low,N_Pixels
Region 1,40.79,-95.79,82.0,78.7,8.8,182809
Region 2,40.79,-94.16,79.2,74.6,10.1,143448
Region 3,40.79,-92.54,80.5,74.7,3.9,180373
Region 4,40.79,-90.91,84.3,81.9,2.9,203330
Region 5,41.56,-95.79,76.6,69.1,9.1,137732
Region 6,41.56,-94.16,65.7,49.1,13.5,104874
Region 7,41.56,-92.54,79.7,73.9,5.1,157235
Region 8,41.56,-90.91,87.7,87.9,2.4,214631
Region 9,42.34,-95.79,63.9,45.1,14.1,79544
Region 10,42.34,-94.16,70.1,57.2,11.3,75236
Region 11,42.34,-92.54,69.1,54.3,9.4,75067
Region 12,42.34,-90.91,72.7,61.7,7.3,167973
Region 13,43.11,-95.79,54.2,28.4,25.3,78247
Region 14,43.11,-94.16,39.2,10.6,56.2,5086
Region 15,43.11,-92.54,48.8,19.4,31.6,16402
Region 16,43.11,-90.91,57.3,33.2,20.1,110240
