Date,Corn_Mean,Corn_Q25,Corn_Q75,Soy_Mean,Soy_Q25,Soy_Q75
2022-01-01,0.05836879109954886,-0.0024000000000000002,0.0932,0.058400391048292116,-0.0015,0.07640000000000001
2022-01-17,0.03300277126954891,-0.0115,0.052000000000000005,0.032239809615590545,-0.0091,0.0483
2022-02-02,0.19234593048075826,0.1892,0.2358,0.1945786090587858,0.1938,0.23520000000000002
2022-02-18,0.23152307727767407,0.2131,0.2516,0.22913860755969587,0.21200000000000002,0.2464
2022-03-06,0.23559807432141272,0.21480000000000002,0.2531,0.22988593618160408,0.2101,0.24710000000000001
2022-03-22,0.24585340932094177,0.2182,0.2627,0.2390308484848484,0.2097,0.2565
2022-04-07,0.28221294461669816,0.24020000000000002,0.30760000000000004,0.2750516025270372,0.2315,0.3014
2022-04-23,0.33699796609218324,0.267,0.3835,0.3293973838740764,0.2548,0.3815
2022-05-09,0.36245997622965437,0.28750000000000003,0.4097,0.35916679794410544,0.275,0.4157
2022-05-25,0.4173819191046637,0.33330000000000004,0.4806,0.4071495305707249,0.3163,0.4742
2022-06-10,0.6720817970461436,0.5898,0.7626000000000001,0.5415707347681764,0.4577,0.6193000000000001
2022-06-26,0.8265205168546982,0.7924,0.8781,0.7322896404325945,0.6713,0.8102
2022-07-12,0.8739454193982854,0.8555,0.9039,0.8444988893885855,0.8119000000000001,0.8944000000000001
2022-07-28,0.8508111415979042,0.8220000000000001,0.8931,0.8517572478852127,0.8177000000000001,0.902
2022-08-13,0.846501009137353,0.8176,0.8891,0.8668087426919371,0.8377,0.9109
2022-08-29,0.8146214530375336,0.7785000000000001,0.8689,0.8498875669771924,0.8209000000000001,0.8952
2022-09-14,0.6318526573282212,0.56,0.7130000000000001,0.6549537404433022,0.5726,0.7462000000000001
2022-09-30,0.4610275218913659,0.378,0.5359,0.44307910761323477,0.36050000000000004,0.5153
2022-10-16,0.2955984124375428,0.2526,0.32330000000000003,0.2921533935110825,0.25070000000000003,0.3161
2022-11-01,0.27666498924722566,0.23550000000000001,0.3015,0.2811732204732841,0.2366,0.3094
2022-11-17,0.24893582968727768,0.21980000000000002,0.2657,0.2545032789377878,0.22240000000000001,0.2746
2022-12-03,0.24980556137900073,0.2223,0.2637,0.25552114830281614,0.2245,0.2732
2022-12-19,0.14789176175138952,0.038,0.218,0.15479940657457977,0.0386,0.2268
